Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
Una de las iglesias más impresionantes del hemisferio occidental,"Para mí, esto es una visita obligada para cualquier visitante de la Ciudad de México. Es gigantesco, es ojo - caramelo, está lleno de capillas y altares de oro y estatuaria. Y es de entrada gratuita (los tours cuestan extra). Es solo un lugar increíble para caminar y ver fantásticas obras de arte religioso, así como la reacción de la gente a ella. Tomó alrededor de 250 años construir el original, y las partes fueron reconstruidas después de un incendio en 1967. Cada vez que visito me maravilla la fe y la devoción que la gente tuvo para construir un monumento tan abrumador. (¡Y el dinero que tomó también!) Si puedes, haz un recorrido por el coro, la cripta y la capilla de reliquias. Solo se puede ofrecer durante las celebraciones del Día de los Muertos. Ahí fue cuando fui. Es una especie de recorrido detrás de escena por los increíbles asientos y órganos de madera tallada del coro y las criptas funerarias subterráneas de anteriores arzobispos de la Ciudad de México.",,5,"Phoenix, AZ",20 de julio de 2025,ene de 2025
Catedral principal de la Ciudad de México,"Bastante grande, catedral multicámara. Construido en el mismo lugar del templo principal azteca. Otros lugares de interés cercanos, por lo tanto, bastante bien para visitar.",,4,"Vilna, Lituania",22 de junio de 2025,jun de 2025
Catedral Central de CDMX,"La enorme catedral se encuentra en el Zócalo de la ciudad. El gran exterior oculta un interior más modesto. Los altares siguen siendo impresionantes; pero, las paredes y columnas carecen de la ornamentación del viejo mundo y adornan las obras de arte religioso que se encuentran en otras iglesias coloniales. Sin embargo, el santuario de la catedral hace un descanso fresco del calor y el bullicio de CDMX. FYI: A dos cuadras de la calle 5 de Febrero hay un pequeño puesto de tacos - 'Tacos de Canasta - El Flaco'. (Son catty - esquina del Hilton Inn and Suites). Menú muy pequeño, siempre una línea enorme al frente. Sus tacos picantes se están llenando. [No le pagas al cocinero, hay un tipo al frente que te quita los pesos] .",,3,"Los Ángeles, CA",31 de marzo de 2025,abr de 2024
Vale la pena mirar en incluso si durante la misa,"Los tiempos de misa son confusos, si no imposibles de encontrar en línea. La segunda vez que vinimos durante una misa. Merece la pena visitarlo. No todas las capillas tienen misa al mismo tiempo.",,4,"Chicago, IL",19 de marzo de 2025,mar de 2025
No te pierdas este,"Una de las primeras cosas que quería ver en la ciudad de México, y me quedé atónito su increíble recomiendo visitar su enorme lado, si tienes una mochila no olvides dejarla en el mostrador",,5,"Belgrado, Serbia",11 de febrero de 2025,dic de 2024
Hermosa,"La arquitectura de esta iglesia es increíble! Hay entrada libre si quieres entrar, y si lo haces notarás una clara inclinación donde el edificio se está hundiendo. Lo visité un domingo y tocaron las campanas durante varios minutos y fue realmente especial.",,5,"Las Vegas, NV",7 de febrero de 2025,feb de 2025
Espectacular,Maravilloso gran edificio con uno de los cuatro lados del Zócalo en la Ciudad de México. Hermoso por dentro también.,,4,"Norwich, UK",30 de enero de 2025,ene de 2025
Gran Catedral,Una hermosa catedral en el corazón del distrito histórico sobre la vista de la plaza. Una visita obligada en la Ciudad de México. Se hunde y se inclina como muchas otras estructuras del centro. El interior es detallado e increíble.,,4,"Ann Arbor, MI",25 de enero de 2025,ene de 2025
Precioso,Enorme iglesia en Plaza de Constitución. El interior es simplemente increíble. Pasé unos 30 minutos tomando fotos. ¡Debe ver en CDMX!,,5,"Tustin, CA",12 de enero de 2025,ene de 2025
La catedral más grande de la región,"Una gran catedral, muy grande. De hecho, la catedral más grande de la región. Debido al movimiento del suelo, dicen que los catedrados serán destruidos en un par de cientos de años.",,5,"Graz, Austria",21 de diciembre de 2024,dic de 2024
Preciosa catedral.,"Nos presentamos alrededor de las 10 am y el mercado exterior ya estaba empezando a abarrotarse. Guías tratarán de ofrecer servicios allí, algunos más enfáticos que otros, pero no tomamos ninguna guía. El interior es precioso pero bastante promedio en cuanto a catedrales van. Partes del exterior estaban cerradas debido a la construcción, así que no pudimos verlo en su gloria completa. Muy cerca del templo mayor museo y del gran hotel, que es bastante conveniente : )",,4,"Bellevue, WA",14 de octubre de 2024,sept de 2024
"""Catedral Metropolitana""","La Catedral Metropolitana,también conocida como la Catedral de la Asunción de María es una gran obra arquitectónica;una mezcla de estilos gótico y barroco.Está construida con piedra de cantera,cuenta con  dos  torres y cinco naves. Es Patrimonio de la Humanidad.¡¡Debes visitarla!!",,4,"La Serena, Chile",6 de agosto de 2024,mar de 2024
Un lugar cansado,Es un bonito museo pero la verdad es que es muuuuy cansado. Lleven mucho bloqueador solar y calzado suave. Tengan mucho cuidado para no quemarse:,,4,,19 de julio de 2024,feb de 2024
"No importa el motivo, VISITE la Catedral Metropolitana ",Majestuosa la Catedral Metropolitana. Se puede participar de alguna de las misas. (Yo participé en la de las 12 M. No recuerdo los otros horarios) ,,5,"Bogotá, Colombia",7 de julio de 2024,jul de 2024
una gran catedral,"Gran catedral con dos órganos. Domina espléndidamente un lado de la plaza principal. Construido sobre la antigua capital azteca, Tenochtitian (utilizando muchas de las piedras...), de los cuales algunos de los cimientos excavados están a la vuelta de la esquina, lo que yuxtapone dos eras históricas.",,3,,13 de junio de 2024,may de 2024
Monumental,"Una de las grandes obras de la arquitectura mexicana. Vale la pena entrar y apreciar los distintos retablos y altares. Edificio con muchisimos años de construida, tengamos en cuenta que comenzo a construirse con los bloques de piedra sacados de los monumentos aztecas.",,5,"Montevideo, Uruguay",28 de mayo de 2024,may de 2024
